вариант       варп     замер     T_low   ошибка    ResMII   RecMII    T_high   в кор. связ.  
c32x1            8    143.09    132.00    -7.7%     132.0    128.0    135.07      НЕТ ALU    
c32x1           12    208.36    198.00    -5.0%     198.0    128.0    198.00      НЕТ ALU    
c32x1           16    276.06    264.00    -4.4%     264.0    128.0    132.00      НЕТ ALU    
c4               4     26.08     16.00   -38.7%      10.0     16.0     17.00      НЕТ ALU    
c4               8     32.08     20.00   -37.7%      20.0     16.0     22.48      НЕТ ALU    
c4              12     41.07     30.00   -26.9%      30.0     16.0     30.00      НЕТ ALU    
c4              16     52.55     40.00   -23.9%      40.0     16.0     20.00      НЕТ ALU    
c4x4             4     45.08     34.00   -24.6%      34.0     16.0     36.00      НЕТ ALU    
c4x4             8     72.08     68.00    -5.7%      68.0     16.0     72.00       да ALU    
c4x4            12    108.07    102.00    -5.6%     102.0     16.0    102.00      НЕТ ALU    
c4x4            16    144.06    136.00    -5.6%     136.0     16.0     68.00      НЕТ ALU    
c8               4     39.08     32.00   -18.1%      18.0     32.0     32.00      НЕТ ALU    
c8               8     47.08     36.00   -23.5%      36.0     32.0     39.07      НЕТ ALU    
c8              12     62.59     54.00   -13.7%      54.0     32.0     54.00      НЕТ ALU    
c8              16     83.04     72.00   -13.3%      72.0     32.0     36.00      НЕТ ALU    
c8x2             4     47.08     34.00   -27.8%      34.0     32.0     35.00      НЕТ ALU    
c8x2             8     72.08     68.00    -5.7%      68.0     32.0     69.96      НЕТ ALU    
c8x2            12    108.08    102.00    -5.6%     102.0     32.0    102.00      НЕТ ALU    
c8x2            16    144.87    136.00    -6.1%     136.0     32.0     68.00      НЕТ ALU    
c8x4             4     77.08     66.00   -14.4%      66.0     32.0     67.00      НЕТ ALU    
c8x4             8    137.09    132.00    -3.7%     132.0     32.0    133.96      НЕТ ALU    
c8x4            12    204.34    198.00    -3.1%     198.0     32.0    198.00      НЕТ ALU    
c8x4            16    274.06    264.00    -3.7%     264.0     32.0    132.00      НЕТ ALU    
f16              4     42.10     32.00   -24.0%      32.0      4.0     34.00      НЕТ FPU    
f16              8     66.11     64.00    -3.2%      64.0      4.0     66.00       да FPU    
f16             12    100.59     96.00    -4.6%      96.0      4.0     99.00       да FPU    
f16             16    132.18    128.00    -3.2%     128.0      4.0    132.00       да FPU    
f32              4     74.12     64.00   -13.7%      64.0      4.0     66.00      НЕТ FPU    
f32              8    130.15    128.00    -1.6%     128.0      4.0    130.00       да FPU    
f32             12    196.35    192.00    -2.2%     192.0      4.0    191.44      НЕТ FPU    
f32             16    261.33    256.00    -2.0%     256.0      4.0    260.00       да FPU    
f4               4     26.09      8.00   -69.3%       8.0      4.0     10.00      НЕТ ISSUE  
f4               8     33.09     16.00   -51.6%      16.0      4.0     18.00      НЕТ ISSUE  
f4              12     40.58     24.00   -40.9%      24.0      4.0     27.00      НЕТ ISSUE  
f4              16     47.57     32.00   -32.7%      32.0      4.0     26.19      НЕТ ISSUE  
f8               4     26.10     16.00   -38.7%      16.0      4.0     18.00      НЕТ FPU    
f8               8     39.35     32.00   -18.7%      32.0      4.0     34.00      НЕТ FPU    
f8              12     56.10     48.00   -14.4%      48.0      4.0     51.00      НЕТ FPU    
f8              16     72.69     64.00   -12.0%      64.0      4.0     68.00      НЕТ FPU    
h1               4     26.02      8.00   -69.3%       8.0      8.0     10.00      НЕТ ISSUE  
h1               8     35.03     16.00   -54.3%      16.0      8.0     18.00      НЕТ ISSUE  
h1              12     42.55     24.00   -43.6%      24.0      8.0     27.00      НЕТ ISSUE  
h1              16     51.75     32.00   -38.2%      32.0      8.0     26.19      НЕТ ISSUE  
h16              4    143.04    128.00   -10.5%     128.0     32.0    134.00      НЕТ TENSOR 
h16              8    262.13    256.00    -2.3%     256.0     32.0    262.00       да TENSOR 
h16             12    405.17    384.00    -5.2%     384.0     32.0    387.00      НЕТ TENSOR 
h16             16    524.44    512.00    -2.4%     512.0     32.0    516.00       да TENSOR 
h16+c8           4    171.04    128.00   -25.2%     128.0     32.0    161.00      НЕТ TENSOR 
h16+c8           8    290.11    256.00   -11.8%     256.0     32.0    257.96      НЕТ TENSOR 
h16+c8          12    460.98    384.00   -16.7%     384.0     32.0    384.00      НЕТ TENSOR 
h16+c8          16    580.36    512.00   -11.8%     512.0     32.0    383.44      НЕТ TENSOR 
h16+i8           4    149.04    128.00   -14.1%     128.0     32.0    134.00      НЕТ TENSOR 
h16+i8           8    272.15    256.00    -5.9%     256.0     32.0    251.22      НЕТ TENSOR 
h16+i8          12    421.17    384.00    -8.8%     384.0     32.0    391.56      НЕТ TENSOR 
h16+i8          16    554.92    512.00    -7.7%     512.0     32.0    516.67      НЕТ TENSOR 
h16+s8x64        4    153.12    128.00   -16.4%     128.0     32.0    158.00       да TENSOR 
h16+s8x64        8    284.11    256.00    -9.9%     256.0     32.0    275.56      НЕТ TENSOR 
h16+s8x64       12    433.08    384.00   -11.3%     384.0     32.0    387.59      НЕТ TENSOR 
h16+s8x64       16    575.98    512.00   -11.1%     512.0     32.0    507.37      НЕТ TENSOR 
h2               4     33.03     16.00   -51.6%      16.0      8.0     23.00      НЕТ TENSOR 
h2               8     41.45     32.00   -22.8%      32.0      8.0     34.00      НЕТ TENSOR 
h2              12     61.97     48.00   -22.5%      48.0      8.0     51.41      НЕТ TENSOR 
h2              16     82.10     64.00   -22.0%      64.0      8.0     68.00      НЕТ TENSOR 
h2+i16           4     56.03     36.00   -35.7%      36.0      8.0     38.00      НЕТ ALU    
h2+i16           8     94.06     72.00   -23.5%      72.0      8.0     76.00      НЕТ ALU    
h2+i16          12    141.09    108.00   -23.5%     108.0      8.0    108.00      НЕТ ALU    
h2+i16          16    189.62    144.00   -24.1%     144.0      8.0     72.00      НЕТ ALU    
h4               4     47.04     32.00   -32.0%      32.0      8.0     38.00      НЕТ TENSOR 
h4               8     70.08     64.00    -8.7%      64.0      8.0     70.00       да TENSOR 
h4              12    105.13     96.00    -8.7%      96.0      8.0     99.00      НЕТ TENSOR 
h4              16    140.18    128.00    -8.7%     128.0      8.0    132.00      НЕТ TENSOR 
h4+c8            4     75.04     32.00   -57.4%      32.0     32.0     65.00      НЕТ TENSOR 
h4+c8            8    104.08     64.00   -38.5%      64.0     32.0     66.00      НЕТ TENSOR 
h4+c8           12    155.41     96.00   -38.2%      96.0     32.0     99.78      НЕТ TENSOR 
h4+c8           16    204.23    128.00   -37.3%     128.0     32.0    130.19      НЕТ TENSOR 
h4+i8            4     53.04     32.00   -39.7%      32.0      8.0     38.00      НЕТ TENSOR 
h4+i8            8     80.09     64.00   -20.1%      64.0      8.0     69.89      НЕТ TENSOR 
h4+i8           12    129.25     96.00   -25.7%      96.0      8.0    103.56      НЕТ TENSOR 
h4+i8           16    176.32    128.00   -27.4%     128.0      8.0    101.63      НЕТ TENSOR 
h8               4     79.04     64.00   -19.0%      64.0     16.0     70.00      НЕТ TENSOR 
h8               8    134.09    128.00    -4.5%     128.0     16.0    134.00       да TENSOR 
h8              12    201.16    192.00    -4.6%     192.0     16.0    195.00      НЕТ TENSOR 
h8              16    280.22    256.00    -8.6%     256.0     16.0    260.00      НЕТ TENSOR 
h8+c1            4     81.04     64.00   -21.0%      64.0     16.0     72.00      НЕТ TENSOR 
h8+c1            8    136.09    128.00    -5.9%     128.0     16.0    133.89       да TENSOR 
h8+c1           12    204.17    192.00    -6.0%     192.0     16.0    197.33      НЕТ TENSOR 
h8+c1           16    285.23    256.00   -10.2%     256.0     16.0    262.67      НЕТ TENSOR 
h8+c12           4    123.04     64.00   -48.0%      64.0     48.0    113.00      НЕТ TENSOR 
h8+c12           8    176.09    128.00   -27.3%     128.0     48.0    129.96      НЕТ TENSOR 
h8+c12          12    267.16    192.00   -28.1%     192.0     48.0    193.22      НЕТ TENSOR 
h8+c12          16    389.87    256.00   -34.3%     256.0     48.0    263.04      НЕТ TENSOR 
h8+c16           4    139.04     64.00   -54.0%      64.0     64.0    129.00      НЕТ TENSOR 
h8+c16           8    192.59    128.00   -33.5%     128.0     64.0    130.00      НЕТ TENSOR 
h8+c16          12    297.15    192.00   -35.4%     192.0     64.0    196.52      НЕТ TENSOR 
h8+c16          16    396.36    256.00   -35.4%     256.0     64.0    258.04      НЕТ TENSOR 
h8+c16x1         4    139.04     64.00   -54.0%      64.0     64.0    129.00      НЕТ TENSOR 
